分類,職種,事業所名,都道府県,産業分類,就業場所,賃金下限,賃金上限,未経験可,運転免許必須,経験,免許資格,PCスキル,学歴,仕事内容,特記事項,出典ファイル,頁
住宅・リフォーム営業（提案営業）,【宮崎】戸建リフォームの技術営業職★未経験者歓迎,スミトモフドウサンハウジングカブシキガイシャ 住友不動産ハウジング株式会社,宮崎,建築リフォーム工事業,〒880-0025 宮崎県宮崎市中津瀬町２６番地８ 住友不動産ハウジング株式会社宮崎営業所 宮崎駅から車6分,271000,334000,False,True,必要な経験・知識・技能等あれば尚可 建築・住宅設計・不動産業界の経験者歓迎,一級建築士あれば尚可 二級建築士あれば尚可 木造建築士あれば尚可 １・２級建築施工管理技士（あれば尚可） 普通自動車運転免許必須 （AT限定可）,,,リフォーム界のパイオニア「新築そっくりさん」のセールスエンジ ニア（技術営業）職。 一棟まるごとの戸建リフォームの建物診断、提案、設計、契約、工 事管理、引き渡しまですべての工程をご担当いただきます。 ※集客に関しては新規飛込みはありませんが、過去に問い合わせい ただいたお客さまへのアプローチなども行っていただきます。 やりがいはどの仕事よりも大きく、お客様が感じておられる家の不 満を解消し蘇らせる「住宅再生」の総合プロデューサーです。 変更範囲：会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【賃金目安】 未経験：２９万２千円（固定給２５万円＋定額歩合給４万２千円） 経験者：３３万４千円（固定給２５万円＋定額歩合給８万４千円） 経験者は入社日から１３ヶ月間限定 ※平均年収８９８万円（２０２４年度） 成績連動型の高率歩合給制粗利益金額×１０〜３０％ ※最長６カ月にわたる充実した研修あり 集合研修やＯＪＴ制度を通じて当社業務に精通いただきます。 ※フレックスタイム制（コアタイムなし）を適用 ※マイカー通勤：可否は採用エリアにより異なる ※勤続功労株式報酬制度あり ※質問はお受け致しますが、求人条件に合致している場合は、 事前連絡せずに、そのまま書類を送付して下さい。 ※ｃ欄に記載された時間数は固定残業代の積算根拠となるもので、 実際の時間外労働の時間数の見込みや実績を示すものではありま せん。 ※賃金（ｄ）欄の続き：月額＝年俸÷１２ヶ月、にて算出 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,1
製造・加工（プレカット／建材）,【残業ほぼなし】住宅用木材の加工を行う機械オペレーター,カワノモクザイサンギヨウゴウシガイシヤ 河野木材産業合資会社,宮崎,製材業，木製品製造業,〒889-1301 宮崎県児湯郡川南町大字川南１３７０７番地 川南駅から徒歩8分,190000,220000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,,,国産ヒノキなどの丸太を住宅の骨組みとなる構造材へ加工する機械 オペレーターを募集しています。未経験の方も、先輩がそばで一緒 に作業しながらイチから丁寧にお教えしますので安心です。 ■木材のプレカット加工（機械を使用して木材を削る作業） ■加工後の木材のチェック、在庫管理 ■作業場の整理整頓や安全確認 入社後はベテラン社員が機械の使い方や作業の流れを一つひとつお 教えしますので、見て学びながら着実に成長できます。資格取得の ための支援制度もあり、専門的なスキルを身につけながらキャリア ップを目指せる環境です。 【変更範囲：会社の定める業務】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ■残業はほとんどなく私生活と両立しやすい職場です ■現場固定で通勤しやすく働きやすい職場です ■未経験の方も大歓迎！先輩社員が丁寧にお教えします ■資格取得支援があり、働きながら技術を学べます ■地域密着で業績も安定しており長く働けます ■応募前の職場見学も可能です！お問合せください ・休日出勤なし ・年末年始休暇は５日以上 ・夏季休暇は４日以上 ・家庭の事情に合わせた短時間勤務可 ・Ｗワーク可（副業可） ・資格手当あり ・歩合、インセンティブ給あり ・資格取得支援あり ・固定残業代制度あり ・服装自由 ◆—◆詳しくは、当社ホームページもご覧ください！◆—◆ 皆様のご応募を心よりお待ちしております。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,2
住宅・リフォーム営業（提案営業）,住宅コンシェルジュ（住宅営業）／宮崎営業所・未経験者歓迎,ユウゲンカイシャヒラシマ 有限会社ヒラシマ,宮崎,建築材料卸売業,〒880-0005 宮崎県宮崎市南高松町５－３５ 「宮崎営業所」 ＪＲ宮崎駅から車5分,240000,350000,False,True,必要な経験・知識・技能等あれば尚可 住宅販売、営業の経験のある方,普通自動車運転免許必須 （AT限定可）,,,お客様（主に宮崎市内）を対象に、住宅に関するご要望を伺い、 新築やリフォームのご提案をし、理想を形にしていくお仕事です。 当社では、飛込み営業等を行いません。「お問い合わせやご紹介 いただいたお客様とのコミュニケーションを深めていただける方」 という意味を込め、「住宅コンシェルジュ」の募集としています。 ■主な業務は以下の通りです ・お客様のニーズに沿った新築住宅、リフォーム等の提案、打合せ ・住宅見学会の設営・運営・契約関係の取りまとめ ・住宅の魅力を伝えるＳＮＳでの発信 ＊未経験の方でも先輩の補助から始めますのでご安心下さい。 ＊社用車あり＊ノルマなし【変更範囲：会社の定める業務】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊当社の宮崎営業所は、県立宮崎病院の近くに位置し、街中への アクセスが便利な立地です。 ＊お客様にとって最も大きなイベントともいえる住宅の新築や リフォーム。その大切な決断の一つ一つに寄り添い、お客様の 理想を形にするお手伝いをしていただきます。たくさんの感謝 の言葉をいただく、やりがいのある仕事です。 ＊経験者の方は、試用期間中の給与を考慮します。また、給与額は 各個人実績を重視します。 ＊未経験者・男女ともに活躍できる職場です。 ＊入社当初から安心して働いていただけるように、サポート体制を しっかり整えています。 ＊マイカー通勤可能です。 ＊Ｒ８．９．３トライアル雇用（併用）求人 （トライアル期間中の労働条件は試用期間に同じ、期間終了後の試 用期間なし） ＊オンライン自主応募可。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,3
＜業界外＞介護・看護・給食,正・准看護師／住宅型有料老人ホームべにたけ荘,イリョウホウジンシュウワカイベニタケソウ・デイサービス・ホウモンカイゴ・キョタクカイゴシエンコサイ 医療法人就和会べにたけ荘・デイサービス・訪問介護・居宅介 護支援こさい,宮崎,老人福祉・介護事業,〒880-0121 宮崎県宮崎市大字島之内字野入６７３３番地 ＪＲ日豊本線日向住吉駅から車5分,215000,264000,True,True,必要な経験・知識・技能等不問,看護師必須 准看護師必須 いずれかの免許・資格所持で可 普通自動車運転免許必須 （AT限定可）,,,介護施設での看護・介護業務を担当していただきます。 ・健康チェックや健康相談及び指導、服薬管理他 ・併設のこさい胃腸科外科との連携、記録等 ＊３０床の施設です。 ＊オンコールはありません。 ＊現在、看護師が２名います。 ＊社有車あり ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊月の平均所定労働時間は１７３時間となります。 ＊有給休暇の取得しやすい職場です。 ＊施設見学可。事前に（０９８５－７８－３１１１）にお電話くだ さい。 ＊介護職員処遇改善加算制度に取り組んでいます。 【仕事と子育て両立応援求人】 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,4
住宅・リフォーム営業（提案営業）,注文住宅営業（宮崎県延岡市）※経験者,カブシキガイシャヤマダホームズ 株式会社ヤマダホームズ,宮崎,一般土木建築工事業,〒882-0866 宮崎県延岡市平原町５丁目１４９２番地６ 株式会社ヤマダホームズ延岡店,275000,349340,False,True,必要な経験・知識・技能等必須 営業経験（２年以上）または 建売・分譲経験（２年以上） リフォーム営業経験者歓迎,普通自動車運転免許必須 （AT限定可）,,,注文住宅、戸建住宅等の営業職です。 ・住宅展示場へご来場されたお客様の接客対応 （主に、土・日がメインになります） ・平日は、アポイントのあるお客様への資料作成および お客様の建設予定地の調査や契約関連の事務作業 ・平日は取引業者等への訪問活動 【変更範囲】会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 昇給：定期での昇給はなし。人事評価による役職の変更で昇給。 賞与：歩合としての支給。 個人の営業成績によって金額が変わります。 ＊土日祝日勤務可能な方 ＊通勤手当は会社規定により支給。 ＊マイカー通勤は規定内の車種に限定されます。 応募書類（履歴書・職務経歴書・紹介状）を郵送、またはメールで お送り下さい。 応募前の事前連絡は不要です。 書類選考後、面接日時及び適性検査をご連絡致します。 なお、不採用の場合は結果を通知の上、応募書類は当方の責任で破 棄致します。 ※メールアドレスをお持ちの方は必ず履歴書にご記入下さい。 ※応募の際は、必ず紹介状（表裏）の添付をお願いいたします。 ※お問い合わせはメールにてお願いいたします。 ＊応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,5
住宅・リフォーム営業（提案営業）,注文住宅営業（宮崎県宮崎市）※経験者,カブシキガイシャヤマダホームズ 株式会社ヤマダホームズ,宮崎,一般土木建築工事業,〒880-0035 宮崎県宮崎市下北方町世々町６５０３ 家電住まいる館ＹＡＭＡＤＡ宮崎花ヶ島本店隣 株式会社ヤマダホームズ宮崎花ヶ島店,275000,349340,False,True,必要な経験・知識・技能等必須 営業経験（２年以上）または 建売・分譲経験（２年以上） リフォーム営業経験者歓迎,普通自動車運転免許必須 （AT限定可）,,,注文住宅、戸建住宅等の営業職です。 ・住宅展示場へご来場されたお客様の接客対応 （主に、土・日がメインになります） ・平日は、アポイントのあるお客様への資料作成および お客様の建設予定地の調査や契約関連の事務作業 ・平日は取引業者等への訪問活動 【変更範囲】会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ★昇給：定期での昇給はなし。人事評価による役職の変更で昇給。 ★賞与：歩合としての支給。 個人の営業成績によって金額が変わります。 ＊土日祝日勤務可能な方 ＊通勤手当は会社規定により支給。 ＊マイカー通勤は規定内の車種に限定されます。 応募書類（履歴書・職務経歴書・紹介状）を郵送、またはメールで お送り下さい。 応募前の事前連絡は不要です。 書類選考後、面接日時及び適性検査のご連絡を致します。 なお、不採用の場合は結果を通知の上、応募書類は当方の責任で破 棄致します。 ※メールアドレスをお持ちの方は必ず履歴書にご記入下さい。 ※応募の際は、必ず紹介状（表裏）の添付をお願いいたします。 ※お問い合わせはメールにてお願いいたします。 ＊応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,6
住宅・リフォーム営業（提案営業）,リフォーム営業（宮崎県宮崎市）※経験者,カブシキガイシャヤマダホームズ 株式会社ヤマダホームズ,宮崎,一般土木建築工事業,〒880-0844 宮崎県宮崎市柳丸町９８－１ 株式会社ヤマダホームズ九州南支店,275000,349340,False,True,必要な経験・知識・技能等必須 リフォーム営業経験（２年以上） 注文・建売・住宅営業の経験者優遇,普通自動車運転免許必須 （AT限定可）,,,おもに一戸建て住宅のリフォームの受注および工程管理業務を担当 していただきます。 当社で建てていただいたお客様を中心とした仕事になります。 増改築等の大規模工事から、バス、トイレ、洗面、キッチン等の水 まわり工事、屋根外壁塗り替え等の維持管理工事、そして水栓金具 交換等の小さな工事まで相談に応じ、お客様のニーズを形にします 。 ※実務経験に応じて採用条件での優遇がございます。 【変更範囲】会社の定める範囲 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ★昇給：定期での昇給はなし。人事評価による役職の変更で昇給。 ★賞与：歩合としての支給。 個人の営業成績によって金額が変わります。 ＊土日祝日勤務可能な方 ＊通勤手当は会社規定により支給。 ＊マイカー通勤は原則不可だが、相談によっては可。 応募書類（履歴書・職務経歴書・紹介状）を郵送、またはメールで お送り下さい。 応募前の事前連絡は不要です。 書類選考後、面接日時及び適性検査をご連絡致します。 なお、不採用の場合は結果を通知の上、応募書類は当方の責任で破 棄致します。 ※メールアドレスをお持ちの方は必ず履歴書にご記入ください。 ※応募の際は、必ず紹介状（表裏）の添付をお願いいたします。 ※お問合せはメールにてお願いいたします。 ＊応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,7
配送・ドライバー,住宅資材の組立配送職〔未経験ＯＫ〕宮崎市／最寄：蓮ヶ池駅,カブシキガイシャミライフ 株式会社みらいふ,宮崎,建築材料卸売業,〒880-0036 宮崎県宮崎市花ケ島町北沖６１０番１ 「株式会社みらいふ宮崎支店」 日豊本線蓮ヶ池駅から車5分,240000,240000,True,False,必要な経験・知識・技能等不問,準中型自動車免許必須 ５トン限定準中型自動車免許必須 ５ｔ限＝Ｈ２９．３以前に取得の普免（※但しＡＴ限定不可） いずれかの免許・資格所持で可,,,◎知識や技術は入社後に丁寧に教えますので経験は一切不問です！ 弊社各支店では未経験で入社した方も多数活躍しています。 ◎主に【組立・配送・取付】を担当していただきます。 ・倉庫にて窓サッシの組立作業や網戸の張替 ・新築現場やリフォーム現場への商品配達 ※原則二人一組／軽〜２．０ｔトラック使用 ・慣れてきたら現場で一部取付作業 ＊仕事内容の変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ☆弊社各支店では１０代で入社した社員から７０代社員まで 幅広く活躍しています。知識や技術は入社後にしっかりと 身につきますので、未経験の方もぜひご検討ください！ ◎雇用・労災・社会保険は入社日から加入します。 ◎年次有給休暇付与後は半日単位での取得も可能です。 ◆ハローワークより事前連絡を頂いた際にご連絡先をお伺いし、 面接日時の調整をさせていただきます。 書類選考は致しませんので、お気軽にご応募ください。 （履歴書・紹介状は面接時ご持参ください） ◆ハローワークマイページからの「オンライン自主応募」機能での 受付も行っております。その場合、紹介状は不要です。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,8
建材・住宅設備の法人／ルート営業,サッシ等住宅資材の法人営業〔経験者〕宮崎／最寄：蓮ヶ池駅,カブシキガイシャミライフ 株式会社みらいふ,宮崎,建築材料卸売業,〒880-0036 宮崎県宮崎市花ケ島町北沖６１０番１ 「株式会社みらいふ宮崎支店」 日豊本線蓮ヶ池駅から車5分,280000,350000,False,True,必要な経験・知識・技能等必須 サッシをメインとした建築資材販売の営業経験,普通自動車運転免許必須 （AT限定可）,,,◎主に支店周辺エリアの建築会社様や工務店様を訪問し、 住宅サッシをはじめとする各種住宅資材を提案・販売 していただく法人営業職の【経験者求人】です。 ・取扱商品は住宅用サッシや室内建材、エクステリア、外壁、 住宅設備機器等。取り扱えるメーカーや商材が多いため これまでのご経験を活かしつつ、お客様の希望に合わせて 幅広い切り口で提案を行うことができます。 ・商品発注や配送は兼任しませんので、営業活動に集中できます。 ※原則転勤はありません。 ＊仕事内容の変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ◎年次有給休暇付与後は半日単位での取得も可能です。 ＊事前連絡の上、履歴書・職務経歴書・紹介状を右記指定住所へ 郵送してください。 選考結果及び面接日時については、応募書類到着後１０日以内に ご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,9
建材・住宅設備の法人／ルート営業,サッシ等住宅資材の法人営業〔経験者〕日向庄内駅から車７分,カブシキガイシャミライフ 株式会社みらいふ,宮崎,建築材料卸売業,〒885-0004 宮崎県都城市都北町３５５１－１ 「株式会社みらいふ都城支店」 ＪＲ吉都線日向庄内駅から車7分,280000,350000,False,True,必要な経験・知識・技能等必須 サッシをメインとした建築資材販売の営業経験,普通自動車運転免許必須 （AT限定可）,,,◎主に支店周辺エリアの建築会社様や工務店様を訪問し、 住宅サッシをはじめとする各種住宅資材を提案・販売 していただく法人営業職の【経験者求人】です。 ・取扱商品は住宅用サッシや室内建材、エクステリア、外壁、 住宅設備機器等。取り扱えるメーカーや商材が多いため これまでのご経験を活かしつつ、お客様の希望に合わせて 幅広い切り口で提案を行うことができます。 ・商品発注や配送は兼任しませんので、営業活動に集中できます。 ※原則転勤はありません。 ＊仕事内容の変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ◎年次有給休暇付与後は半日単位での取得も可能です。 ＊事前連絡の上、履歴書・職務経歴書・紹介状を右記指定住所へ 郵送してください。 選考結果及び面接日時については、応募書類到着後１０日以内に ご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,10
